np_tag_id,record_id,table_id,title,description
1,38,0,"2000, implementing agencies",""
2,40,0,"record: 40",""
3,41,0,"record: 41",""
4,42,0,"Department of Health and Human Services, appearances: 31",""
5,43,0,"U.S. Agency for International Development, appearances: 87",""
6,44,0,"Department of State, appearances: 175",""
7,45,0,"2000, income groups",""
8,46,0,"record: 46",""
9,47,0,"record: 47",""
10,48,0,"nan, appearances: 56",""
11,49,0,"Low Income Country, appearances: 164",""
12,50,0,"Lower Middle Income Country, appearances: 63",""
13,51,0,"Upper Middle Income Country, appearances: 10",""
14,52,0,"2000, channel categories",""
15,53,0,"record: 53",""
16,54,0,"record: 54",""
17,55,0,"Government, appearances: 110",""
18,56,0,"Multilateral, appearances: 54",""
19,57,0,"NGO, appearances: 124",""
20,58,0,"Enterprises, appearances: 2",""
21,59,0,"Church and Faith Based, appearances: 3",""
22,60,0,"2000, dac categories",""
23,61,0,"record: 61",""
24,62,0,"record: 62",""
25,63,0,"Other, appearances: 83",""
26,64,0,"Humanitarian, appearances: 77",""
27,65,0,"Governance, appearances: 104",""
28,66,0,"Health and Population, appearances: 29",""
29,67,0,"2000, funding_agencies",""
30,68,0,"record: 68",""
31,69,0,"record: 69",""
32,70,0,"Department of Health and Human Services, appearances: 31",""
33,71,0,"U.S. Agency for International Development, appearances: 91",""
34,72,0,"Department of State, appearances: 171",""
35,73,0,"2000, aid types",""
36,74,0,"record: 74",""
37,75,0,"record: 75",""
38,76,0,"Project-Type, appearances: 248",""
39,77,0,"Core contributions, appearances: 45",""
40,78,0,"2001, implementing agencies",""
41,79,0,"record: 79",""
42,80,0,"record: 80",""
43,81,0,"Department of Health and Human Services, appearances: 31",""
44,82,0,"U.S. Agency for International Development, appearances: 2157",""
45,83,0,"Department of State, appearances: 265",""
46,84,0,"2001, income groups",""
47,85,0,"record: 85",""
48,86,0,"record: 86",""
49,87,0,"nan, appearances: 567",""
50,88,0,"Low Income Country, appearances: 1157",""
51,89,0,"High Income Country, appearances: 12",""
52,90,0,"Upper Middle Income Country, appearances: 193",""
53,91,0,"Lower Middle Income Country, appearances: 524",""
54,92,0,"2001, channel categories",""
55,93,0,"record: 93",""
56,94,0,"record: 94",""
57,95,0,"Government, appearances: 643",""
58,96,0,"Multilateral, appearances: 211",""
59,97,0,"Networks, appearances: 2",""
60,98,0,"NGO, appearances: 629",""
61,99,0,"Universities and Research Institutes, appearances: 96",""
62,100,0,"Public and Private Partnerships, appearances: 1",""
63,101,0,"Enterprises, appearances: 800",""
64,102,0,"Church and Faith Based, appearances: 71",""
65,103,0,"2001, dac categories",""
66,104,0,"record: 104",""
67,105,0,"record: 105",""
68,106,0,"Education, appearances: 77",""
69,107,0,"Other, appearances: 284",""
70,108,0,"Humanitarian, appearances: 405",""
71,109,0,"Governance, appearances: 642",""
72,110,0,"Health and Population, appearances: 510",""
73,111,0,"Administrative Costs, appearances: 365",""
74,112,0,"Commodity Assistance, appearances: 46",""
75,113,0,"Infrastructure, appearances: 21",""
76,114,0,"Economic Growth, appearances: 50",""
77,115,0,"Agriculture, appearances: 53",""
78,116,0,"2001, funding_agencies",""
79,117,0,"record: 117",""
80,118,0,"record: 118",""
81,119,0,"Department of Health and Human Services, appearances: 31",""
82,120,0,"U.S. Agency for International Development, appearances: 2153",""
83,121,0,"Department of State, appearances: 269",""
84,122,0,"2001, aid types",""
85,123,0,"record: 123",""
86,124,0,"record: 124",""
87,125,0,"Technical Assistance, appearances: 56",""
88,126,0,"Project-Type, appearances: 1954",""
89,127,0,"Core contributions, appearances: 78",""
90,128,0,"Administrative Costs, appearances: 365",""
91,129,0,"2002, implementing agencies",""
92,130,0,"record: 130",""
93,131,0,"record: 131",""
94,132,0,"Department of Health and Human Services, appearances: 33",""
95,133,0,"U.S. Agency for International Development, appearances: 3886",""
96,134,0,"Department of State, appearances: 206",""
97,135,0,"2002, income groups",""
98,136,0,"record: 136",""
99,137,0,"record: 137",""
100,138,0,"nan, appearances: 631",""
101,139,0,"Low Income Country, appearances: 2310",""
102,140,0,"High Income Country, appearances: 7",""
103,141,0,"Upper Middle Income Country, appearances: 361",""
104,142,0,"Lower Middle Income Country, appearances: 816",""
105,143,0,"2002, channel categories",""
106,144,0,"record: 144",""
107,145,0,"record: 145",""
108,146,0,"Government, appearances: 973",""
109,147,0,"Multilateral, appearances: 211",""
110,148,0,"Networks, appearances: 1",""
111,149,0,"NGO, appearances: 909",""
112,150,0,"Universities and Research Institutes, appearances: 197",""
113,151,0,"Public and Private Partnerships, appearances: 1",""
114,152,0,"Enterprises, appearances: 1750",""
115,153,0,"Church and Faith Based, appearances: 83",""
116,154,0,"2002, dac categories",""
117,155,0,"record: 155",""
118,156,0,"record: 156",""
119,157,0,"Education, appearances: 346",""
120,158,0,"Other, appearances: 450",""
121,159,0,"Humanitarian, appearances: 421",""
122,160,0,"Governance, appearances: 1082",""
123,161,0,"Health and Population, appearances: 919",""
124,162,0,"Administrative Costs, appearances: 396",""
125,163,0,"Commodity Assistance, appearances: 74",""
126,164,0,"Infrastructure, appearances: 21",""
127,165,0,"Economic Growth, appearances: 245",""
128,166,0,"Agriculture, appearances: 171",""
129,167,0,"2002, funding_agencies",""
130,168,0,"record: 168",""
131,169,0,"record: 169",""
132,170,0,"Department of Health and Human Services, appearances: 33",""
133,171,0,"U.S. Agency for International Development, appearances: 3873",""
134,172,0,"Department of State, appearances: 219",""
135,173,0,"2002, aid types",""
136,174,0,"record: 174",""
137,175,0,"record: 175",""
138,176,0,"Technical Assistance, appearances: 259",""
139,177,0,"Project-Type, appearances: 3430",""
140,178,0,"Core contributions, appearances: 40",""
141,179,0,"Administrative Costs, appearances: 396",""
142,180,0,"2003, implementing agencies",""
143,181,0,"record: 181",""
144,182,0,"record: 182",""
145,183,0,"Department of State, appearances: 267",""
146,184,0,"Department of Agriculture, appearances: 26",""
147,185,0,"Department of the Treasury, appearances: 5",""
148,186,0,"Department of Health and Human Services, appearances: 64",""
149,187,0,"U.S. Agency for International Development, appearances: 4062",""
150,188,0,"2003, income groups",""
151,189,0,"record: 189",""
152,190,0,"record: 190",""
153,191,0,"nan, appearances: 650",""
154,192,0,"Low Income Country, appearances: 2558",""
155,193,0,"High Income Country, appearances: 4",""
156,194,0,"Upper Middle Income Country, appearances: 396",""
157,195,0,"Lower Middle Income Country, appearances: 816",""
158,196,0,"2003, channel categories",""
159,197,0,"record: 197",""
160,198,0,"record: 198",""
161,199,0,"Government, appearances: 1028",""
162,200,0,"Multilateral, appearances: 231",""
163,201,0,"Networks, appearances: 2",""
164,202,0,"NGO, appearances: 1052",""
165,203,0,"Universities and Research Institutes, appearances: 189",""
166,204,0,"Public and Private Partnerships, appearances: 2",""
167,205,0,"Enterprises, appearances: 1823",""
168,206,0,"Church and Faith Based, appearances: 97",""
169,207,0,"2003, dac categories",""
170,208,0,"record: 208",""
171,209,0,"record: 209",""
172,210,0,"Education, appearances: 411",""
173,211,0,"Other, appearances: 418",""
174,212,0,"Humanitarian, appearances: 493",""
175,213,0,"Governance, appearances: 1055",""
176,214,0,"Health and Population, appearances: 1060",""
177,215,0,"Administrative Costs, appearances: 387",""
178,216,0,"Commodity Assistance, appearances: 90",""
179,217,0,"Infrastructure, appearances: 32",""
180,218,0,"Economic Growth, appearances: 276",""
181,219,0,"Agriculture, appearances: 202",""
182,220,0,"2003, funding_agencies",""
183,221,0,"record: 221",""
184,222,0,"record: 222",""
185,223,0,"Department of Health and Human Services, appearances: 64",""
186,224,0,"U.S. Agency for International Development, appearances: 4092",""
187,225,0,"Department of State, appearances: 268",""
188,226,0,"2003, aid types",""
189,227,0,"record: 227",""
190,228,0,"record: 228",""
191,229,0,"Technical Assistance, appearances: 313",""
192,230,0,"Project-Type, appearances: 3676",""
193,231,0,"Core contributions, appearances: 48",""
194,232,0,"Administrative Costs, appearances: 387",""
195,233,0,"2004, implementing agencies",""
196,234,0,"record: 234",""
197,235,0,"record: 235",""
198,236,0,"Department of Homeland Security, appearances: 6",""
199,237,0,"Peace Corps, appearances: 6",""
200,238,0,"Department of State, appearances: 240",""
201,239,0,"Department of Agriculture, appearances: 22",""
202,240,0,"Department of the Treasury, appearances: 3",""
203,241,0,"Department of Health and Human Services, appearances: 120",""
204,242,0,"Department of Defense, appearances: 7",""
205,243,0,"U.S. Agency for International Development, appearances: 4395",""
206,244,0,"2004, income groups",""
207,245,0,"record: 245",""
208,246,0,"record: 246",""
209,247,0,"nan, appearances: 726",""
210,248,0,"Low Income Country, appearances: 2722",""
211,249,0,"High Income Country, appearances: 8",""
212,250,0,"Upper Middle Income Country, appearances: 390",""
213,251,0,"Lower Middle Income Country, appearances: 953",""
214,252,0,"2004, channel categories",""
215,253,0,"record: 253",""
216,254,0,"record: 254",""
217,255,0,"Government, appearances: 961",""
218,256,0,"Multilateral, appearances: 262",""
219,257,0,"Networks, appearances: 1",""
220,258,0,"NGO, appearances: 1135",""
221,259,0,"Universities and Research Institutes, appearances: 197",""
222,260,0,"Public and Private Partnerships, appearances: 2",""
223,261,0,"Enterprises, appearances: 2117",""
224,262,0,"Church and Faith Based, appearances: 124",""
225,263,0,"2004, dac categories",""
226,264,0,"record: 264",""
227,265,0,"record: 265",""
228,266,0,"Education, appearances: 403",""
229,267,0,"Other, appearances: 405",""
230,268,0,"Humanitarian, appearances: 483",""
231,269,0,"Governance, appearances: 1143",""
232,270,0,"Health and Population, appearances: 1336",""
233,271,0,"Administrative Costs, appearances: 404",""
234,272,0,"Commodity Assistance, appearances: 90",""
235,273,0,"Infrastructure, appearances: 24",""
236,274,0,"Economic Growth, appearances: 290",""
237,275,0,"Agriculture, appearances: 221",""
238,276,0,"2004, funding_agencies",""
239,277,0,"record: 277",""
240,278,0,"record: 278",""
241,279,0,"Department of Health and Human Services, appearances: 91",""
242,280,0,"U.S. Agency for International Development, appearances: 4359",""
243,281,0,"Department of State, appearances: 349",""
244,282,0,"2004, aid types",""
245,283,0,"record: 283",""
246,284,0,"record: 284",""
